lfi_iteration,avg domain param,std domain param,avg log prob,num total samples
0,"[4.949623871652875e-06, 1.048159901984036e-06, 11.115297317504883, 0.03319371119141579]","[1.428824475624424e-06, 2.268185284037827e-07, 1.0056822299957275, 0.003851768095046282]",30.265262603759766,1500000
1,"[4.867567895416869e-06, 1.022647097670415e-06, 10.542440414428711, 0.029976749792695045]","[1.4427038195208297e-06, 2.742077356288064e-07, 1.1286051273345947, 0.0034230442252010107]",28.934080123901367,3000000
2,"[4.976551736035617e-06, 9.886982752504991e-07, 9.835675239562988, 0.026993444189429283]","[1.427825168320851e-06, 2.873105415801547e-07, 0.9160327911376953, 0.003251815214753151]",26.66916275024414,4500000
3,"[4.971468115400057e-06, 9.799510962693603e-07, 10.081978797912598, 0.027560394257307053]","[1.4546790225722361e-06, 2.828142839916836e-07, 0.893282413482666, 0.0031858475413173437]",26.59588623046875,6000000
4,"[4.9701534408086445e-06, 9.800395446291077e-07, 9.410052299499512, 0.025345899164676666]","[1.426773110324575e-06, 2.868221997687215e-07, 0.689184844493866, 0.002534977626055479]",24.69338607788086,7500000
5,"[4.848778189625591e-06, 9.398057727594278e-07, 9.104270935058594, 0.022938406094908714]","[1.4307311175798532e-06, 2.858949130768451e-07, 0.37405940890312195, 0.001640629256144166]",22.69989013671875,9000000
6,"[4.859343334828736e-06, 9.161718708128319e-07, 8.974459648132324, 0.022451454773545265]","[1.4292876358013018e-06, 2.8065528567822184e-07, 0.278478741645813, 0.0012955995043739676]",21.108562469482422,10500000
