lfi_iteration,avg domain param,std domain param,avg log prob,num total samples
0,"[0.7085077166557312, 1.7165759801864624]","[0.4341282546520233, 0.6718588471412659]",-0.2650516927242279,500
1,"[0.32829609513282776, 2.247161865234375]","[0.21210643649101257, 0.9467306733131409]",-0.3043162226676941,1000
2,"[0.44087231159210205, 1.8224962949752808]","[0.3058962821960449, 0.8877183794975281]",-0.21599966287612915,1500
3,"[0.5052031874656677, 1.6481057405471802]","[0.35754746198654175, 0.8758556842803955]",-0.2969627380371094,2000
4,"[0.3786584734916687, 1.972998857498169]","[0.27188727259635925, 0.8443159461021423]",0.6404069066047668,2500
