iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var,loss improvement V-fcnovement,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy,avg grad norm V-fcn,avg lr
30,283.2406,59.2579,74.8711,25.1332,46.2033,481.386,902685,0.10750000178813934,3.395900011062622,63.78850173950195,0.0005000000237487257,0.7315999865531921,1.1064000129699707,0.2159,1.5614,0.000751
31,196.9025,65.0012,71.3356,26.9067,34.7328,475.7931,930281,0.15469999611377716,2.803999900817871,50.844200134277344,0.00039999998989515007,0.7299000024795532,1.104099988937378,0.2278,1.9517,0.000748
32,325.5149,60.7966,71.3209,29.6174,42.8646,465.5424,957748,0.164900004863739,2.6823999881744385,49.75630187988281,0.000699999975040555,0.7369999885559082,1.113800048828125,0.236,2.0656,0.000744
33,213.518,62.1858,75.5071,37.1681,37.206,451.3667,984830,0.14110000431537628,4.430600166320801,52.74079895019531,0.000699999975040555,0.7357000112533569,1.1119999885559082,0.2399,1.6,0.00074
34,207.9268,61.3848,73.4012,30.0174,38.0095,444.2097,1012371,0.18889999389648438,3.694000005722046,46.807498931884766,0.0007999999797903001,0.7268999814987183,1.100000023841858,0.2693,1.8684,0.000737
35,146.433,51.2018,57.7218,38.4581,18.3454,381.3099,1039444,0.30550000071525574,2.8984999656677246,32.17300033569336,0.0010999999940395355,0.722000002861023,1.0931999683380127,0.2727,1.466,0.000733
36,319.5852,51.3657,68.6771,34.6578,46.4464,404.0299,1066514,0.21369999647140503,2.7499001026153564,53.024898529052734,0.0012000000569969416,0.71670001745224,1.0858999490737915,0.2586,1.8006,0.000729
37,237.1383,56.3527,69.8199,34.2909,41.5557,396.6471,1093486,0.22089999914169312,3.63100004196167,55.130001068115234,0.000699999975040555,0.7057999968528748,1.0705000162124634,0.2646,1.929,0.000726
38,200.1334,51.8767,63.1388,27.5677,32.451,388.9857,1120715,0.30160000920295715,2.026599884033203,39.87860107421875,0.0020000000949949026,0.7010999917984009,1.0637999773025513,0.287,2.0523,0.000722
39,246.7905,54.3524,64.8579,39.4304,35.016,389.4348,1147586,0.31130000948905945,2.4511001110076904,39.893798828125,0.0005000000237487257,0.6948999762535095,1.054900050163269,0.2914,2.2776,0.000718
40,163.7844,56.2588,65.9912,41.604,26.4468,386.9571,1174673,0.3303000032901764,2.8289999961853027,39.59410095214844,0.0010999999940395355,0.703000009059906,1.06659996509552,0.3228,2.6644,0.000715
41,162.3305,54.7305,66.4264,28.7117,27.2959,397.8955,1201332,0.36550000309944153,2.071500062942505,37.48500061035156,0.000699999975040555,0.7013999819755554,1.0642999410629272,0.2918,3.1253,0.000711
42,242.1821,52.7641,65.802,40.6475,35.0748,393.1618,1228067,0.39239999651908875,2.071000099182129,35.529998779296875,0.0020000000949949026,0.7041000127792358,1.0680999755859375,0.3218,2.78,0.000708
43,134.0077,55.0623,60.7109,44.1253,19.8491,387.8143,1255214,0.49480000138282776,1.6038999557495117,22.695100784301758,0.0005000000237487257,0.6963000297546387,1.0569000244140625,0.3833,3.3608,0.000704
44,190.5182,53.5795,61.76,40.5142,24.4576,386.4714,1282267,0.4697999954223633,1.5317000150680542,26.274999618530273,0.0008999999845400453,0.6995999813079834,1.0615999698638916,0.3788,3.6995,0.000701
45,196.9288,57.3104,63.5031,34.6395,23.8519,386.7143,1309337,0.475600004196167,1.833899974822998,28.628400802612305,0.0007999999797903001,0.7009000182151794,1.0635000467300415,0.3443,4.3903,0.000697
46,123.5446,51.1526,56.6306,43.3209,15.476,373.2917,1336214,0.5827999711036682,1.1855000257492065,16.948999404907227,0.000699999975040555,0.6970999836921692,1.0580999851226807,0.3898,4.6522,0.000694
47,175.6276,49.1964,54.1767,43.0713,18.1804,367.6027,1363049,0.6176000237464905,0.7821999788284302,13.615599632263184,0.000699999975040555,0.689300000667572,1.0468000173568726,0.4368,4.2663,0.00069
48,72.0328,48.3079,50.2026,42.5196,5.9533,357.0533,1389828,0.7208999991416931,0.5863000154495239,8.001899719238281,0.0010000000474974513,0.6855999827384949,1.0414999723434448,0.5025,3.6667,0.000687
49,96.1358,48.8893,52.151,42.2347,9.7865,357.96,1416675,0.6862999796867371,0.7674999833106995,9.75059986114502,0.0006000000284984708,0.6776999831199646,1.0298999547958374,0.4703,5.1801,0.000683
50,104.7241,50.8318,55.8009,36.2972,12.6055,363.0676,1443542,0.645799994468689,0.7659000158309937,11.128199577331543,0.0020000000949949026,0.6712999939918518,1.020300030708313,0.4497,5.4935,0.00068
51,124.6289,48.5973,55.3482,42.1706,16.7738,354.7763,1470505,0.5945000052452087,0.809499979019165,12.756099700927734,0.00139999995008111,0.6657000184059143,1.0119999647140503,0.436,6.3753,0.000677
52,192.686,67.1527,79.2964,39.26,35.5856,379.1408,1497424,0.2531000077724457,2.387500047683716,50.12049865722656,0.0013000000035390258,0.6654000282287598,1.0116000175476074,0.364,7.3783,0.000673
53,197.0789,74.9075,80.2979,44.656,30.7411,374.6389,1524398,0.24799999594688416,2.3582000732421875,47.90140151977539,0.0006000000284984708,0.6581000089645386,1.000499963760376,0.3668,8.2557,0.00067
54,190.1879,60.8942,78.4276,43.1673,38.5658,379.831,1551366,0.30090001225471497,1.9990999698638916,46.325599670410156,0.000699999975040555,0.6581000089645386,1.000599980354309,0.3823,5.1349,0.000666
55,140.042,67.0229,75.1078,43.8588,27.7926,379.1268,1578284,0.38019999861717224,1.6088000535964966,32.3843994140625,0.0012000000569969416,0.6577000021934509,1.0,0.4097,6.6587,0.000663
56,233.1191,80.3318,90.9349,46.434,43.2602,391.6087,1605305,0.23280000686645508,3.3262999057769775,60.91590118408203,0.000699999975040555,0.6572999954223633,0.9994000196456909,0.454,5.8396,0.00066
57,200.8437,89.9649,97.3308,45.9893,35.0982,400.8507,1632162,0.20829999446868896,3.308300018310547,60.65530014038086,0.0010999999940395355,0.6574000120162964,0.9994000196456909,0.4329,3.4883,0.000657
58,183.4862,87.3753,94.3208,47.9655,31.5315,394.5588,1658992,0.2506999969482422,2.8642001152038574,52.282798767089844,0.0010000000474974513,0.6517000198364258,0.9908000230789185,0.416,5.2202,0.000653
59,216.6887,97.9373,104.5675,49.6763,33.0298,403.4328,1686022,0.1915999948978424,4.330599784851074,65.65480041503906,0.0005000000237487257,0.6503999829292297,0.9886999726295471,0.4768,3.8292,0.00065
60,248.6486,104.9054,112.5977,49.9415,39.5483,410.803,1713135,0.16050000488758087,4.15939998626709,80.15299987792969,0.0010999999940395355,0.6506999731063843,0.989300012588501,0.4256,4.1327,0.000647
61,214.2146,108.5556,118.0913,54.3908,37.328,414.6615,1740088,0.14990000426769257,5.941999912261963,84.66899871826172,0.0008999999845400453,0.6424999833106995,0.9764999747276306,0.4422,4.1256,0.000644
62,273.4804,113.6033,127.2403,61.936,49.2018,421.7538,1767502,0.13989999890327454,8.838199615478516,101.94539642333984,0.0005000000237487257,0.6392999887466431,0.9715999960899353,0.4388,2.4011,0.00064
63,295.9117,116.0605,129.6112,65.0017,52.1035,425.9375,1794762,0.16619999706745148,6.80679988861084,99.38420104980469,0.0006000000284984708,0.6381000280380249,0.9696000218391418,0.4572,2.8558,0.000637
64,298.9815,156.9949,145.7826,57.5331,51.6985,448.9344,1822147,0.12759999930858612,5.8831000328063965,116.3125991821289,0.0006000000284984708,0.6338000297546387,0.9629999995231628,0.4311,3.951,0.000634
65,292.5176,124.626,137.3318,66.3862,56.8763,434.4127,1849515,0.1899999976158142,6.858799934387207,103.89820098876953,0.0008999999845400453,0.6326000094413757,0.9610999822616577,0.4582,4.1181,0.000631
66,378.8362,98.7306,134.2956,66.0665,68.5814,427.3281,1876864,0.22030000388622284,6.32390022277832,107.96179962158203,0.0010999999940395355,0.6340000033378601,0.9631999731063843,0.4762,3.6959,0.000628
67,308.3448,132.4,144.5584,67.1727,61.507,447.9032,1904634,0.22450000047683716,6.083700180053711,105.7854995727539,0.0006000000284984708,0.6284999847412109,0.9545000195503235,0.4561,4.1848,0.000625
68,303.2661,128.3865,146.9035,67.4465,58.6863,451.3443,1932166,0.23549999296665192,4.543600082397461,102.86100006103516,0.0010000000474974513,0.6266000270843506,0.9514999985694885,0.4615,6.1155,0.000621
69,291.7746,163.0708,160.329,66.1192,60.4965,467.9153,1959773,0.20759999752044678,6.514200210571289,116.86669921875,0.0005000000237487257,0.6226000189781189,0.9451000094413757,0.4858,4.6931,0.000618
70,267.0147,172.0306,169.8458,73.7037,50.5418,483.069,1987791,0.20489999651908875,6.6331000328063965,117.91280364990234,0.0006000000284984708,0.6202999949455261,0.9413999915122986,0.4652,6.152,0.000615
71,289.9478,133.3675,142.0579,69.6596,58.5227,444.0645,2015323,0.32330000400543213,4.101900100708008,88.53410339355469,0.0005000000237487257,0.6190999746322632,0.9394000172615051,0.4797,5.2064,0.000612
72,270.6694,162.715,162.6174,69.8937,57.5513,475.7069,2042914,0.27730000019073486,4.6793999671936035,103.93679809570312,0.0013000000035390258,0.6129999756813049,0.9296000003814697,0.4571,5.3481,0.000609
73,314.2601,200.8022,195.9579,72.9473,57.681,514.5091,2071212,0.18170000612735748,7.28000020980835,140.59170532226562,0.0008999999845400453,0.6039000153541565,0.9146999716758728,0.4639,6.814,0.000606
74,375.9195,177.4691,179.2293,71.7006,85.9652,486.7931,2099446,0.23759999871253967,5.59060001373291,133.85060119628906,0.0007999999797903001,0.5976999998092651,0.90420001745224,0.4494,5.0323,0.000603
75,306.0702,160.224,167.0322,72.6666,72.5649,474.3559,2127433,0.29989999532699585,4.71150016784668,112.07050323486328,0.0012000000569969416,0.5895000100135803,0.8903999924659729,0.4737,4.6691,0.0006
76,335.4909,220.6671,195.0428,77.1741,87.0149,509.6909,2155466,0.23340000212192535,6.19350004196167,141.70159912109375,0.0012000000569969416,0.5867999792098999,0.8858000040054321,0.5358,6.95,0.000597
77,369.1843,219.1309,201.5521,71.6562,97.0621,520.4074,2183568,0.2410999983549118,6.274899959564209,145.1614990234375,0.001500000013038516,0.5900999903678894,0.8914999961853027,0.4547,6.3505,0.000594
78,388.5552,276.6,250.1101,89.7769,86.7779,590.2292,2211899,0.15790000557899475,8.6943998336792,175.21969604492188,0.0010999999940395355,0.5873000025749207,0.8866999745368958,0.546,4.0129,0.000591
79,425.3142,268.3894,258.6206,83.5832,89.0145,602.5833,2240823,0.16689999401569366,8.1628999710083,174.2487030029297,0.000699999975040555,0.58160001039505,0.8769999742507935,0.4868,4.1814,0.000588
80,439.1657,283.3245,280.1916,83.6642,104.9203,623.2391,2269492,0.13050000369548798,8.67039966583252,196.7454071044922,0.0010000000474974513,0.5863999724388123,0.885200023651123,0.5002,5.7726,0.000585
81,441.1565,283.6872,273.7125,72.6473,108.451,620.9565,2298056,0.1770000010728836,7.288700103759766,176.5435028076172,0.0007999999797903001,0.5795000195503235,0.8733000159263611,0.4916,4.8344,0.000582
82,551.3316,358.991,350.2002,88.9515,112.738,699.1667,2327421,0.01140000019222498,9.851300239562988,240.88600158691406,0.0008999999845400453,0.5799000263214111,0.8741000294685364,0.4865,8.4736,0.000579
83,539.977,369.386,350.2201,83.6849,122.7846,693.3488,2357235,0.02930000051856041,10.086099624633789,241.8372039794922,0.0005000000237487257,0.5759999752044678,0.8672999739646912,0.4864,8.2038,0.000576
84,506.6446,359.2056,342.0159,94.8178,108.8606,696.5,2386488,0.08959999680519104,8.726699829101562,216.4272003173828,0.0012000000569969416,0.5825999975204468,0.8787000179290771,0.4991,10.7753,0.000574
85,540.618,392.5263,369.4967,98.0707,113.9338,718.6098,2415951,0.030400000512599945,7.5457000732421875,234.6602020263672,0.0010000000474974513,0.5873000025749207,0.8867999911308289,0.4906,9.6106,0.000571
86,540.038,415.2747,393.7618,106.8425,105.8235,737.4146,2446185,-0.02280000038444996,9.3858003616333,242.36700439453125,0.0007999999797903001,0.5870000123977661,0.8862000107765198,0.5041,8.7762,0.000568
87,563.508,465.09,432.3209,106.4471,123.3637,754.1026,2475595,-0.20020000636577606,3.8664000034332275,266.6549987792969,0.000699999975040555,0.5884000062942505,0.888700008392334,0.4593,8.4912,0.000565
88,564.7393,529.0183,498.98,137.8027,83.538,786.9474,2505499,-0.5777999758720398,4.261499881744385,325.67919921875,0.0005000000237487257,0.5843999981880188,0.8817999958992004,0.4374,5.6298,0.000562
89,584.9578,560.4993,534.3907,319.322,63.6439,794.8947,2535705,-0.8306999802589417,5.308800220489502,376.3346862792969,0.0006000000284984708,0.5788000226020813,0.8722000122070312,0.4269,4.614,0.000559
90,575.8116,554.9821,529.5124,104.7375,84.7858,787.0789,2565614,-0.8891000151634216,4.490200042724609,363.13409423828125,0.0007999999797903001,0.5766000151634216,0.868399977684021,0.4278,5.3103,0.000557
91,589.6193,566.5473,559.8187,454.3294,24.3473,800.0,2595214,-1.1282999515533447,6.250999927520752,397.77630615234375,0.0005000000237487257,0.5741999745368958,0.8641999959945679,0.4353,5.9044,0.000554
92,593.5876,575.4596,562.1838,123.6974,72.8435,790.6579,2625259,-1.1402000188827515,4.6666998863220215,422.1697998046875,0.00019999999494757503,0.5745999813079834,0.864799976348877,0.4234,6.2459,0.000551
93,593.7427,577.1533,551.079,93.8574,102.0323,780.2105,2654907,-1.0599000453948975,5.379799842834473,413.81561279296875,0.0006000000284984708,0.5730000138282776,0.8619999885559082,0.4315,6.694,0.000548
94,604.4562,582.1217,567.9106,100.2746,77.7982,789.3947,2684904,-1.1224000453948975,5.143400192260742,437.49468994140625,0.0015999999595806003,0.5715000033378601,0.8593999743461609,0.4243,6.4028,0.000546
95,613.9701,594.9238,581.0365,98.0785,79.9014,789.1053,2714890,-1.2238999605178833,4.9045000076293945,467.3789978027344,0.00019999999494757503,0.5734999775886536,0.8629000186920166,0.4367,6.0359,0.000543
96,611.4143,592.6876,566.643,100.5595,108.9006,779.0769,2745274,-1.1044000387191772,4.986700057983398,452.0920104980469,0.00039999998989515007,0.5782999992370605,0.8712999820709229,0.406,6.1283,0.00054
97,613.4988,595.1808,581.7011,79.6745,83.23,790.0263,2775295,-1.2137000560760498,4.827899932861328,458.8096008300781,0.00019999999494757503,0.5776000022888184,0.8701000213623047,0.4556,6.5531,0.000537
98,614.2458,593.0643,590.1723,565.4489,11.6779,800.0,2804895,-1.2802000045776367,5.019000053405762,449.79779052734375,0.0005000000237487257,0.5752999782562256,0.866100013256073,0.4413,6.66,0.000535
99,607.2507,584.2653,583.5181,560.8509,10.6075,800.0,2834495,-1.2178000211715698,5.0355000495910645,428.96099853515625,0.0005000000237487257,0.5756000280380249,0.866599977016449,0.4448,6.279,0.000532
100,594.2567,582.7511,581.0606,548.5919,9.4134,800.0,2864095,-1.187000036239624,5.539000034332275,419.2882995605469,0.0003000000142492354,0.5734000205993652,0.8628000020980835,0.4261,6.7095,0.000529
101,596.1695,575.6945,574.6817,549.9226,11.1789,800.0,2893695,-1.1579999923706055,4.567599773406982,395.1231994628906,0.0007999999797903001,0.5726000070571899,0.8614000082015991,0.4424,6.0112,0.000527
102,593.3961,566.8534,565.7296,537.9494,12.0864,800.0,2923295,-1.072100043296814,4.53249979019165,370.86138916015625,0.00019999999494757503,0.574400007724762,0.8644999861717224,0.4417,5.7944,0.000524
103,585.6993,559.2899,557.972,532.6361,13.2467,800.0,2952895,-0.9830999970436096,4.517000198364258,352.4393005371094,0.0003000000142492354,0.5699999928474426,0.8568000197410583,0.4483,6.4976,0.000522
104,588.5563,566.578,567.3843,540.3308,11.9987,800.0,2982495,-1.037600040435791,4.6722002029418945,371.6326904296875,0.00019999999494757503,0.5719000101089478,0.8601999878883362,0.466,6.4756,0.000519
105,587.8777,572.1833,568.2631,541.1511,12.2323,800.0,3012095,-1.0121999979019165,4.810699939727783,373.45208740234375,0.000699999975040555,0.569100022315979,0.8551999926567078,0.4761,6.2775,0.000516
106,592.516,578.327,577.0816,554.455,7.8757,800.0,3041695,-1.0810999870300293,4.2729997634887695,389.29901123046875,0.0008999999845400453,0.5669999718666077,0.8514999747276306,0.4484,6.9301,0.000514
107,584.5979,564.4044,564.5891,540.7004,10.717,800.0,3071295,-0.9765999913215637,4.026000022888184,356.5166015625,0.00139999995008111,0.567300021648407,0.8521000146865845,0.4468,5.8346,0.000511
108,591.7728,576.2569,574.8975,549.9076,10.5815,800.0,3100895,-1.0074000358581543,4.218900203704834,383.5567932128906,0.0010000000474974513,0.5699999928474426,0.8567000031471252,0.4685,7.0391,0.000509
109,593.2592,569.2412,544.5473,64.0922,113.6614,778.7105,3130486,-0.7526000142097473,4.262499809265137,365.1665954589844,0.0007999999797903001,0.5666999816894531,0.8510000109672546,0.45,6.185,0.000506
110,599.3943,574.6066,575.6822,549.7247,10.8231,800.0,3160086,-0.9498999714851379,4.586100101470947,385.36370849609375,0.0019000000320374966,0.5637999773025513,0.8458999991416931,0.4493,6.8047,0.000504
111,601.6882,586.6685,585.3152,568.1663,9.5037,800.0,3189686,-0.9837999939918518,4.310200214385986,410.23779296875,0.0008999999845400453,0.5652999877929688,0.8485999703407288,0.4618,6.3504,0.000501
112,609.8663,590.763,592.0238,576.3365,10.1943,800.0,3219286,-1.0755000114440918,4.261199951171875,416.3865966796875,0.0007999999797903001,0.5687000155448914,0.8544999957084656,0.4497,7.1451,0.000499
113,606.3256,585.4157,584.945,568.2207,9.5964,800.0,3248886,-0.9922999739646912,4.874800205230713,398.9543151855469,0.0012000000569969416,0.5672000050544739,0.8518999814987183,0.4183,7.4223,0.000496
114,597.0312,580.6872,579.2831,565.4279,8.3987,800.0,3278486,-0.9402999877929688,4.235499858856201,381.70770263671875,0.00039999998989515007,0.5680999755859375,0.8535000085830688,0.453,7.4142,0.000494
115,599.6096,581.7171,580.2012,523.1968,11.8793,800.0,3308086,-0.9178000092506409,4.857999801635742,383.6672058105469,0.0006000000284984708,0.5720000267028809,0.8601999878883362,0.4375,6.2255,0.000491
116,593.1247,581.482,580.0719,562.0654,7.8272,800.0,3337686,-0.925599992275238,4.025599956512451,376.47509765625,0.0006000000284984708,0.5748999714851379,0.8652999997138977,0.4628,5.6936,0.000489
117,596.6911,584.7575,583.9573,566.2556,7.0795,800.0,3367286,-0.9287999868392944,4.51230001449585,385.4833984375,0.00039999998989515007,0.5774000287055969,0.869700014591217,0.4457,6.8372,0.000486
118,608.7545,590.4304,591.5898,580.4878,6.2362,800.0,3396886,-0.9855999946594238,4.781400203704834,399.3505859375,0.0005000000237487257,0.573199987411499,0.8623999953269958,0.4462,7.4236,0.000484
119,601.9919,587.2867,562.1869,116.3803,105.7402,783.4211,3426656,-0.7178999781608582,4.889100074768066,378.9031066894531,0.00019999999494757503,0.574999988079071,0.8655999898910522,0.4536,6.7177,0.000481
120,605.3383,586.9351,560.6496,74.5976,113.4878,781.0263,3456335,-0.7046999931335449,4.113500118255615,376.3431091308594,0.0010000000474974513,0.5753999948501587,0.8662999868392944,0.4647,6.1934,0.000479
121,593.8636,578.7362,577.9816,552.9264,11.0522,800.0,3485935,-0.8240000009536743,3.9305999279022217,363.1639099121094,0.0003000000142492354,0.5764999985694885,0.8680999875068665,0.4363,4.9585,0.000477
122,593.229,581.3185,578.2737,537.4429,12.5671,800.0,3515535,-0.824400007724762,4.342800140380859,359.3927917480469,0.00039999998989515007,0.5745000243186951,0.8647000193595886,0.4424,7.0582,0.000474
123,600.3631,583.1799,583.4618,549.7434,11.8468,800.0,3545135,-0.866100013256073,4.410799980163574,366.206787109375,0.0010999999940395355,0.574400007724762,0.8644999861717224,0.4382,7.97,0.000472
124,607.8074,593.3437,592.8427,572.7693,7.6815,800.0,3574735,-0.9172999858856201,4.402500152587891,386.6011962890625,0.00039999998989515007,0.5746999979019165,0.8651000261306763,0.4406,8.0409,0.00047
125,606.6558,593.8033,592.5792,563.023,9.2137,800.0,3604335,-0.8964999914169312,4.405600070953369,384.283203125,0.0007999999797903001,0.5738999843597412,0.8636000156402588,0.4371,7.3307,0.000467
126,599.8758,592.5064,589.3328,572.493,7.7183,800.0,3633935,-0.8621000051498413,4.388999938964844,373.59759521484375,0.0003000000142492354,0.5716999769210815,0.8598999977111816,0.4557,8.1524,0.000465
127,602.6566,588.5267,588.3487,574.7719,7.6518,800.0,3663535,-0.8328999876976013,4.4695000648498535,369.8561096191406,0.00019999999494757503,0.569599986076355,0.8561000227928162,0.4602,8.0412,0.000463
128,609.4528,590.4419,589.5009,567.7078,9.7712,800.0,3693135,-0.8319000005722046,4.245800018310547,369.61480712890625,0.000699999975040555,0.5702000260353088,0.857200026512146,0.44,7.9357,0.00046
129,608.2215,592.8399,592.4472,568.3717,9.0863,800.0,3722735,-0.8181999921798706,4.01669979095459,378.39801025390625,0.0003000000142492354,0.5716000199317932,0.8596000075340271,0.4228,7.4832,0.000458
130,606.9368,593.8851,592.8127,571.3505,7.577,800.0,3752335,-0.8210999965667725,4.017399787902832,374.20208740234375,0.0003000000142492354,0.5712000131607056,0.8589000105857849,0.4402,7.0893,0.000456
131,607.5883,592.1972,591.3711,574.673,9.5057,800.0,3781935,-0.784500002861023,4.291800022125244,371.2650146484375,0.00039999998989515007,0.5723000168800354,0.86080002784729,0.4287,8.453,0.000453
132,601.717,585.6637,586.1583,564.6356,7.6906,800.0,3811535,-0.7113000154495239,4.060999870300293,361.1487121582031,0.00019999999494757503,0.574999988079071,0.8655999898910522,0.4406,6.6683,0.000451
133,596.9891,583.6325,582.6646,558.5035,8.8514,800.0,3841135,-0.6560999751091003,4.080100059509277,355.0151062011719,0.00039999998989515007,0.5756000280380249,0.866599977016449,0.4282,8.45,0.000449
